step,time_s,x_robot,y_robot,angulo_grados,action
111,3.552,-0.2499,0.3708,-0.92,AVANZAR
112,3.584,-0.2473,0.3707,-0.92,GIRANDO
113,3.616,-0.2473,0.3707,-0.63,AVANZAR
114,3.648,-0.2447,0.3707,-0.63,AVANZAR
115,3.68,-0.2421,0.3707,-0.63,AVANZAR
116,3.712,-0.2396,0.3706,-0.78,GIRANDO
117,3.744,-0.2396,0.3706,-0.49,AVANZAR
118,3.776,-0.2371,0.3706,-0.49,AVANZAR
119,3.808,-0.2345,0.3706,-0.49,AVANZAR
120,3.84,-0.232,0.3706,-0.35,AVANZAR
121,3.872,-0.2294,0.3706,-0.35,AVANZAR
122,3.904,-0.2269,0.3705,-0.49,GIRANDO
123,3.936,-0.2268,0.3705,-0.35,AVANZAR
124,3.968,-0.2243,0.3705,-0.21,AVANZAR
125,4.0,-0.2217,0.3705,-0.21,AVANZAR
126,4.032,-0.2192,0.3705,-0.21,GIRANDO
127,4.064,-0.2192,0.3705,-0.07,AVANZAR
128,4.096,-0.2167,0.3705,-0.07,GIRANDO
129,4.128,-0.2166,0.3705,0.08,AVANZAR
130,4.16,-0.214,0.3705,0.08,AVANZAR
131,4.192,-0.2115,0.3705,0.22,AVANZAR
132,4.224,-0.209,0.3705,0.08,GIRANDO
133,4.256,-0.2089,0.3705,0.22,AVANZAR
134,4.288,-0.2064,0.3705,0.36,AVANZAR
135,4.32,-0.2038,0.3706,0.36,GIRANDO
136,4.352,-0.2038,0.3706,0.36,GIRANDO
137,4.384,-0.2038,0.3706,0.64,AVANZAR
138,4.416,-0.2013,0.3706,0.64,AVANZAR
139,4.448,-0.1987,0.3706,0.64,AVANZAR
140,4.48,-0.1961,0.3706,0.64,GIRANDO
141,4.512,-0.1962,0.3706,0.78,AVANZAR
142,4.544,-0.1936,0.3707,0.78,AVANZAR
143,4.576,-0.191,0.3707,0.78,GIRANDO
144,4.608,-0.191,0.3707,1.07,AVANZAR
145,4.64,-0.1885,0.3708,1.07,AVANZAR
146,4.672,-0.186,0.3708,0.93,GIRANDO
147,4.704,-0.186,0.3708,1.21,AVANZAR
148,4.736,-0.1834,0.3709,1.21,AVANZAR
149,4.768,-0.1808,0.3709,1.21,GIRANDO
150,4.8,-0.1809,0.3709,1.35,AVANZAR
151,4.832,-0.1783,0.371,1.35,GIRANDO
152,4.864,-0.1783,0.371,1.64,AVANZAR
153,4.896,-0.1757,0.371,1.64,AVANZAR
154,4.928,-0.1732,0.3711,1.64,GIRANDO
155,4.96,-0.1732,0.3711,1.78,GIRANDO
156,4.992,-0.1732,0.3711,-3.47,GIRANDO
157,5.024,-0.1732,0.3711,-8.29,GIRANDO
158,5.056,-0.1732,0.3711,-12.69,GIRANDO
159,5.088,-0.1732,0.3711,-16.95,GIRANDO
160,5.12,-0.1732,0.3711,-20.92,GIRANDO
161,5.152,-0.1732,0.3711,-24.61,GIRANDO
162,5.184,-0.1732,0.3711,-28.15,GIRANDO
163,5.216,-0.1732,0.3711,-31.27,GIRANDO
164,5.248,-0.1732,0.3711,-34.39,GIRANDO
165,5.28,-0.1732,0.3711,-37.23,GIRANDO
166,5.312,-0.1732,0.3711,-39.78,GIRANDO
167,5.344,-0.1732,0.3711,-42.34,GIRANDO
168,5.376,-0.1732,0.3711,-44.75,GIRANDO
169,5.408,-0.1732,0.3711,-46.88,GIRANDO
170,5.44,-0.1732,0.3711,-48.86,GIRANDO
171,5.472,-0.1732,0.3711,-50.85,GIRANDO
172,5.504,-0.1732,0.3711,-52.69,GIRANDO
173,5.536,-0.1732,0.3711,-54.4,GIRANDO
174,5.568,-0.1732,0.3711,-55.96,GIRANDO
175,5.6,-0.1732,0.3711,-57.37,GIRANDO
176,5.632,-0.1732,0.3711,-58.79,GIRANDO
177,5.664,-0.1732,0.3711,-60.07,GIRANDO
178,5.696,-0.1732,0.3711,-61.35,GIRANDO
179,5.728,-0.1732,0.3711,-62.48,GIRANDO
180,5.76,-0.1732,0.3711,-63.47,GIRANDO
181,5.792,-0.1732,0.3711,-64.47,GIRANDO
182,5.824,-0.1732,0.3711,-65.32,GIRANDO
183,5.856,-0.1732,0.3711,-66.17,GIRANDO
184,5.888,-0.1732,0.3711,-67.02,GIRANDO
185,5.92,-0.1732,0.3711,-67.87,GIRANDO
186,5.952,-0.1732,0.3711,-68.44,GIRANDO
187,5.984,-0.1732,0.3711,-69.29,GIRANDO
188,6.016,-0.1732,0.3711,-69.86,GIRANDO
189,6.048,-0.1732,0.3711,-70.42,GIRANDO
190,6.08,-0.1732,0.3711,-70.99,GIRANDO
191,6.112,-0.1732,0.3711,-71.56,GIRANDO
192,6.144,-0.1732,0.3711,-71.84,GIRANDO
193,6.176,-0.1732,0.3711,-72.41,GIRANDO
194,6.208,-0.1732,0.3711,-72.69,GIRANDO
195,6.24,-0.1732,0.3711,-73.26,GIRANDO
196,6.272,-0.1732,0.3711,-73.55,GIRANDO
197,6.304,-0.1732,0.3711,-73.83,GIRANDO
198,6.336,-0.1732,0.3712,-74.25,GIRANDO
199,6.368,-0.1732,0.3712,-74.54,GIRANDO
200,6.4,-0.1732,0.3712,-74.82,GIRANDO
201,6.432,-0.1732,0.3711,-74.96,GIRANDO
202,6.464,-0.1732,0.3711,-75.25,GIRANDO
203,6.496,-0.1732,0.3711,-75.53,GIRANDO
204,6.528,-0.1732,0.3711,-75.81,GIRANDO
205,6.56,-0.1732,0.3711,-76.1,AVANZAR
206,6.592,-0.1726,0.3687,-75.96,GIRANDO
207,6.624,-0.1725,0.3686,-76.1,AVANZAR
208,6.656,-0.1719,0.3662,-76.24,AVANZAR
209,6.688,-0.1713,0.3637,-76.24,AVANZAR
210,6.72,-0.1707,0.3612,-76.24,AVANZAR
211,6.752,-0.1701,0.3587,-76.1,GIRANDO
212,6.784,-0.1701,0.3587,-76.38,AVANZAR
213,6.816,-0.1695,0.3562,-76.38,AVANZAR
214,6.848,-0.1689,0.3537,-76.38,AVANZAR
215,6.88,-0.1683,0.3512,-76.38,AVANZAR
216,6.912,-0.1677,0.3487,-76.38,AVANZAR
217,6.944,-0.1671,0.3463,-76.24,GIRANDO
218,6.976,-0.1671,0.3463,-76.52,AVANZAR
219,7.008,-0.1665,0.3438,-76.52,AVANZAR
220,7.04,-0.1659,0.3413,-76.52,AVANZAR
221,7.072,-0.1653,0.3388,-76.52,AVANZAR
222,7.104,-0.1647,0.3363,-76.67,AVANZAR
223,7.136,-0.1641,0.3339,-76.52,AVANZAR
224,7.168,-0.1635,0.3314,-76.52,GIRANDO
225,7.2,-0.1635,0.3314,-76.81,AVANZAR
226,7.232,-0.1629,0.3289,-76.81,AVANZAR
227,7.264,-0.1624,0.3264,-76.81,AVANZAR
228,7.296,-0.1618,0.3238,-76.81,AVANZAR
229,7.328,-0.1612,0.3214,-76.67,GIRANDO
230,7.36,-0.1612,0.3214,-76.95,AVANZAR
231,7.392,-0.1606,0.3189,-76.95,AVANZAR
232,7.424,-0.16,0.3164,-76.95,AVANZAR
233,7.456,-0.1595,0.3139,-76.95,AVANZAR
234,7.488,-0.1589,0.3114,-76.81,GIRANDO
235,7.52,-0.1589,0.3114,-77.09,AVANZAR
236,7.552,-0.1583,0.3089,-77.09,AVANZAR
237,7.584,-0.1577,0.3064,-77.09,AVANZAR
238,7.616,-0.1572,0.3039,-77.09,AVANZAR
239,7.648,-0.1566,0.3015,-77.23,AVANZAR
240,7.68,-0.156,0.299,-77.09,AVANZAR
241,7.712,-0.1555,0.2965,-77.09,AVANZAR
242,7.744,-0.1549,0.294,-77.09,GIRANDO
243,7.776,-0.1549,0.294,-77.38,AVANZAR
244,7.808,-0.1543,0.2915,-77.38,AVANZAR
245,7.84,-0.1538,0.289,-77.38,AVANZAR
246,7.872,-0.1532,0.2865,-77.23,AVANZAR
247,7.904,-0.1526,0.284,-77.23,GIRANDO
248,7.936,-0.1526,0.284,-77.52,AVANZAR
249,7.968,-0.1521,0.2815,-77.52,AVANZAR
250,8.0,-0.1515,0.279,-77.52,AVANZAR
251,8.032,-0.151,0.2765,-77.38,GIRANDO
252,8.064,-0.151,0.2765,-77.66,AVANZAR
253,8.096,-0.1504,0.274,-77.66,AVANZAR
254,8.128,-0.1499,0.2715,-77.66,AVANZAR
255,8.16,-0.1493,0.269,-77.66,AVANZAR
256,8.192,-0.1488,0.2665,-77.66,AVANZAR
257,8.224,-0.1483,0.2641,-77.66,AVANZAR
258,8.256,-0.1477,0.2616,-77.66,GIRANDO
259,8.288,-0.1477,0.2615,-77.8,AVANZAR
