step,time_s,x_robot,y_robot,angulo_grados,action
110,3.52,-0.1909,0.3746,-73.48,GIRANDO
111,3.552,-0.1909,0.3746,-73.76,GIRANDO
112,3.584,-0.1909,0.3746,-73.9,GIRANDO
113,3.616,-0.1909,0.3746,-74.05,GIRANDO
114,3.648,-0.1909,0.3746,-74.05,GIRANDO
115,3.68,-0.1909,0.3746,-74.33,AVANZAR
116,3.712,-0.1902,0.3722,-74.19,AVANZAR
117,3.744,-0.1895,0.3697,-74.19,AVANZAR
118,3.776,-0.1888,0.3672,-74.19,AVANZAR
119,3.808,-0.1881,0.3647,-74.19,AVANZAR
120,3.84,-0.1874,0.3623,-74.33,AVANZAR
121,3.872,-0.1868,0.3598,-74.33,AVANZAR
122,3.904,-0.1861,0.3574,-74.33,AVANZAR
123,3.936,-0.1854,0.3549,-74.19,AVANZAR
124,3.968,-0.1847,0.3525,-74.19,AVANZAR
125,4.0,-0.184,0.35,-74.19,AVANZAR
126,4.032,-0.1833,0.3475,-74.19,AVANZAR
127,4.064,-0.1826,0.3451,-74.33,AVANZAR
128,4.096,-0.1819,0.3426,-74.33,AVANZAR
129,4.128,-0.1812,0.3401,-74.33,AVANZAR
130,4.16,-0.1805,0.3377,-74.19,GIRANDO
131,4.192,-0.1805,0.3377,-74.33,AVANZAR
132,4.224,-0.1798,0.3352,-74.33,AVANZAR
133,4.256,-0.1791,0.3328,-74.47,AVANZAR
134,4.288,-0.1785,0.3303,-74.33,AVANZAR
135,4.32,-0.1778,0.3279,-74.33,AVANZAR
136,4.352,-0.1771,0.3254,-74.33,AVANZAR
137,4.384,-0.1764,0.3229,-74.33,AVANZAR
138,4.416,-0.1757,0.3204,-74.33,AVANZAR
139,4.448,-0.175,0.3179,-74.33,GIRANDO
140,4.48,-0.175,0.318,-74.47,AVANZAR
141,4.512,-0.1743,0.3155,-74.47,AVANZAR
142,4.544,-0.1736,0.313,-74.47,AVANZAR
143,4.576,-0.1729,0.3106,-74.47,AVANZAR
144,4.608,-0.1722,0.3081,-74.47,AVANZAR
145,4.64,-0.1716,0.3057,-74.47,AVANZAR
146,4.672,-0.1709,0.3032,-74.47,AVANZAR
147,4.704,-0.1702,0.3008,-74.47,AVANZAR
148,4.736,-0.1695,0.2983,-74.47,AVANZAR
149,4.768,-0.1688,0.2958,-74.47,AVANZAR
150,4.8,-0.1681,0.2933,-74.47,GIRANDO
151,4.832,-0.1682,0.2934,-74.61,AVANZAR
152,4.864,-0.1675,0.2909,-74.61,AVANZAR
153,4.896,-0.1668,0.2884,-74.61,AVANZAR
154,4.928,-0.1661,0.2859,-74.61,AVANZAR
155,4.96,-0.1654,0.2835,-74.61,AVANZAR
156,4.992,-0.1648,0.281,-74.47,GIRANDO
157,5.024,-0.1648,0.281,-74.76,AVANZAR
158,5.056,-0.1641,0.2785,-74.76,AVANZAR
159,5.088,-0.1634,0.2761,-74.76,AVANZAR
160,5.12,-0.1627,0.2736,-74.61,AVANZAR
161,5.152,-0.1621,0.2712,-74.61,GIRANDO
162,5.184,-0.1621,0.2712,-74.9,AVANZAR
163,5.216,-0.1614,0.2687,-74.9,AVANZAR
164,5.248,-0.1607,0.2663,-74.76,AVANZAR
165,5.28,-0.16,0.2638,-74.76,AVANZAR
166,5.312,-0.1594,0.2613,-74.76,AVANZAR
167,5.344,-0.1587,0.2588,-74.76,AVANZAR
168,5.376,-0.158,0.2563,-74.76,AVANZAR
169,5.408,-0.1574,0.2539,-74.9,AVANZAR
170,5.44,-0.1567,0.2514,-74.9,AVANZAR
171,5.472,-0.156,0.249,-74.76,GIRANDO
172,5.504,-0.156,0.2489,-74.9,AVANZAR
173,5.536,-0.1553,0.2464,-74.9,AVANZAR
174,5.568,-0.1547,0.244,-75.04,AVANZAR
175,5.6,-0.154,0.2416,-74.9,AVANZAR
176,5.632,-0.1534,0.2391,-74.9,AVANZAR
177,5.664,-0.1527,0.2366,-74.9,GIRANDO
178,5.696,-0.1527,0.2366,-74.9,GIRANDO
