step,time_s,x_robot,y_robot,angulo_grados,action
0,0.0,-0.875,0.875,0.0,AVANZAR
1,0.032,-0.8724,0.875,0.0,AVANZAR
2,0.064,-0.8699,0.875,0.0,AVANZAR
3,0.096,-0.8673,0.875,0.0,AVANZAR
4,0.128,-0.8648,0.875,0.0,AVANZAR
5,0.16,-0.8623,0.875,0.0,AVANZAR
6,0.192,-0.8597,0.875,0.0,AVANZAR
7,0.224,-0.8571,0.875,0.0,AVANZAR
8,0.256,-0.8545,0.875,0.0,AVANZAR
9,0.288,-0.852,0.875,0.0,AVANZAR
10,0.32,-0.8494,0.875,0.0,AVANZAR
11,0.352,-0.8469,0.875,0.0,AVANZAR
12,0.384,-0.8444,0.875,0.0,AVANZAR
13,0.416,-0.8418,0.875,0.0,AVANZAR
14,0.448,-0.8392,0.875,0.0,AVANZAR
15,0.48,-0.8366,0.875,0.0,AVANZAR
16,0.512,-0.8341,0.875,0.0,AVANZAR
17,0.544,-0.8315,0.875,0.0,AVANZAR
18,0.576,-0.829,0.875,0.0,AVANZAR
19,0.608,-0.8265,0.875,0.0,AVANZAR
20,0.64,-0.8239,0.875,0.0,AVANZAR
21,0.672,-0.8213,0.875,0.0,AVANZAR
22,0.704,-0.8187,0.875,0.0,AVANZAR
23,0.736,-0.8162,0.875,0.0,AVANZAR
24,0.768,-0.8136,0.875,0.0,AVANZAR
25,0.8,-0.8111,0.875,0.0,AVANZAR
26,0.832,-0.8086,0.875,0.0,AVANZAR
27,0.864,-0.806,0.875,0.0,AVANZAR
28,0.896,-0.8034,0.875,0.0,AVANZAR
29,0.928,-0.8008,0.875,0.0,AVANZAR
30,0.96,-0.7983,0.875,0.0,AVANZAR
31,0.992,-0.7957,0.875,0.0,AVANZAR
32,1.024,-0.7933,0.875,0.0,AVANZAR
33,1.056,-0.7907,0.875,0.0,AVANZAR
34,1.088,-0.7881,0.875,0.0,AVANZAR
35,1.12,-0.7855,0.875,0.0,AVANZAR
36,1.152,-0.783,0.875,0.0,AVANZAR
37,1.184,-0.7804,0.875,0.0,AVANZAR
38,1.216,-0.7778,0.875,0.0,AVANZAR
39,1.248,-0.7752,0.875,0.0,AVANZAR
40,1.28,-0.7728,0.875,0.0,AVANZAR
41,1.312,-0.7702,0.875,0.0,AVANZAR
42,1.344,-0.7676,0.875,0.0,AVANZAR
43,1.376,-0.7651,0.875,0.0,AVANZAR
44,1.408,-0.7625,0.875,0.0,AVANZAR
45,1.44,-0.7599,0.875,0.0,AVANZAR
46,1.472,-0.7573,0.875,0.0,AVANZAR
47,1.504,-0.7549,0.875,0.0,AVANZAR
48,1.536,-0.7523,0.875,0.0,AVANZAR
49,1.568,-0.7497,0.875,0.0,AVANZAR
50,1.6,-0.7472,0.875,0.0,AVANZAR
51,1.632,-0.7446,0.875,0.0,AVANZAR
52,1.664,-0.742,0.875,0.0,AVANZAR
53,1.696,-0.7394,0.875,0.0,AVANZAR
54,1.728,-0.737,0.875,0.0,AVANZAR
55,1.76,-0.7344,0.875,0.0,AVANZAR
56,1.792,-0.7318,0.875,0.0,AVANZAR
57,1.824,-0.7293,0.875,0.0,AVANZAR
58,1.856,-0.7267,0.875,0.0,AVANZAR
59,1.888,-0.7241,0.875,0.0,AVANZAR
60,1.92,-0.7215,0.875,0.0,AVANZAR
61,1.952,-0.7191,0.875,0.0,AVANZAR
62,1.984,-0.7165,0.875,0.0,AVANZAR
63,2.016,-0.7139,0.875,0.0,AVANZAR
64,2.048,-0.7114,0.875,0.0,AVANZAR
65,2.08,-0.7088,0.875,0.0,AVANZAR
66,2.112,-0.7062,0.875,0.0,AVANZAR
67,2.144,-0.7036,0.875,0.0,AVANZAR
68,2.176,-0.7012,0.875,0.0,AVANZAR
69,2.208,-0.6986,0.875,0.0,AVANZAR
70,2.24,-0.6961,0.875,0.0,AVANZAR
