step,time_s,x_robot,y_robot,angulo_grados,sensor_crudo,kalman,action
0,0.0,-0.875,0.875,-90.0,0.7224,0.9403,GIRANDO
1,0.032,-0.875,0.8749,-84.47,0.7775,0.9125,GIRANDO
2,0.064,-0.875,0.8749,-79.08,0.8017,0.894,GIRANDO
3,0.096,-0.875,0.8749,-73.97,0.8114,0.8805,GIRANDO
4,0.128,-0.875,0.8749,-69.15,0.7611,0.8667,GIRANDO
5,0.16,-0.875,0.8749,-64.89,0.806,0.8564,GIRANDO
6,0.192,-0.875,0.8749,-60.64,0.8735,0.8519,GIRANDO
7,0.224,-0.875,0.8749,-56.66,0.7602,0.8448,GIRANDO
8,0.256,-0.875,0.8749,-53.26,0.7649,0.8369,GIRANDO
9,0.288,-0.875,0.8749,-49.86,0.7611,0.8288,GIRANDO
10,0.32,-0.875,0.8749,-46.45,0.7894,0.8223,GIRANDO
11,0.352,-0.875,0.8749,-43.61,0.7662,0.816,GIRANDO
12,0.384,-0.875,0.8749,-40.78,0.7643,0.8099,GIRANDO
13,0.416,-0.875,0.8749,-38.22,0.7327,0.8029,GIRANDO
14,0.448,-0.875,0.8749,-35.67,0.7728,0.7974,GIRANDO
15,0.48,-0.875,0.8749,-33.4,0.7381,0.7915,GIRANDO
16,0.512,-0.875,0.8749,-31.42,0.7382,0.7856,GIRANDO
17,0.544,-0.875,0.8749,-29.43,0.7699,0.7814,GIRANDO
18,0.576,-0.875,0.8749,-27.44,0.7611,0.778,GIRANDO
19,0.608,-0.875,0.8749,-25.74,0.7634,0.7754,GIRANDO
20,0.64,-0.875,0.8749,-24.04,0.7585,0.773,GIRANDO
21,0.672,-0.875,0.8749,-22.34,0.7699,0.7715,GIRANDO
22,0.704,-0.875,0.8749,-20.92,0.7822,0.7711,GIRANDO
23,0.736,-0.875,0.8749,-19.78,0.7659,0.7706,GIRANDO
24,0.768,-0.875,0.8749,-18.37,0.7569,0.7697,GIRANDO
25,0.8,-0.875,0.8749,-17.23,0.7425,0.768,GIRANDO
26,0.832,-0.875,0.8749,-16.1,0.8,0.7683,GIRANDO
27,0.864,-0.875,0.8749,-15.24,0.7642,0.7684,GIRANDO
28,0.896,-0.875,0.8749,-14.11,0.7663,0.7683,GIRANDO
29,0.928,-0.875,0.8749,-13.26,0.7643,0.7681,GIRANDO
30,0.96,-0.875,0.8749,-12.41,0.7826,0.7686,GIRANDO
31,0.992,-0.875,0.8749,-11.56,0.8154,0.7709,GIRANDO
32,1.024,-0.875,0.8749,-10.99,0.7516,0.7715,GIRANDO
33,1.056,-0.875,0.8749,-10.14,0.7765,0.7721,GIRANDO
34,1.088,-0.875,0.8749,-9.57,0.7695,0.7723,GIRANDO
35,1.12,-0.875,0.8749,-9.0,0.7876,0.7731,GIRANDO
36,1.152,-0.875,0.8749,-8.44,0.769,0.7734,AVANZAR
37,1.184,-0.8725,0.8746,-8.29,0.7546,0.7706,AVANZAR
38,1.216,-0.87,0.8742,-8.29,0.7327,0.7666,AVANZAR
39,1.248,-0.8674,0.8738,-8.29,0.7542,0.763,AVANZAR
40,1.28,-0.8649,0.8735,-8.29,0.7453,0.7594,GIRANDO
41,1.312,-0.8649,0.8735,-7.73,0.7685,0.7592,AVANZAR
42,1.344,-0.8623,0.8731,-7.73,0.7802,0.7578,AVANZAR
43,1.376,-0.8598,0.8728,-7.73,0.7703,0.7568,AVANZAR
44,1.408,-0.8573,0.8724,-7.87,0.7494,0.7553,AVANZAR
45,1.44,-0.8548,0.8721,-7.73,0.7342,0.7528,AVANZAR
46,1.472,-0.8522,0.8717,-7.73,0.742,0.7502,AVANZAR
47,1.504,-0.8497,0.8714,-7.73,0.785,0.7495,GIRANDO
48,1.536,-0.8497,0.8714,-7.16,0.7407,0.7502,AVANZAR
49,1.568,-0.8471,0.8711,-7.16,0.756,0.7487,AVANZAR
50,1.6,-0.8446,0.8707,-7.16,0.7906,0.749,AVANZAR
51,1.632,-0.842,0.8704,-7.16,0.7877,0.7502,AVANZAR
52,1.664,-0.8395,0.8701,-7.3,0.7091,0.7485,GIRANDO
53,1.696,-0.8395,0.8701,-6.73,0.8033,0.7514,AVANZAR
54,1.728,-0.837,0.8698,-6.59,0.7524,0.751,AVANZAR
55,1.76,-0.8345,0.8695,-6.45,0.7313,0.7493,AVANZAR
56,1.792,-0.832,0.8692,-6.45,0.7585,0.748,AVANZAR
57,1.824,-0.8294,0.869,-6.45,0.7851,0.7481,AVANZAR
58,1.856,-0.8269,0.8687,-6.45,0.8175,0.7506,AVANZAR
59,1.888,-0.8244,0.8684,-6.59,0.7568,0.7518,AVANZAR
60,1.92,-0.8218,0.8681,-6.59,0.7686,0.7525,GIRANDO
61,1.952,-0.8218,0.8681,-6.02,0.7475,0.7543,AVANZAR
62,1.984,-0.8193,0.8678,-6.02,0.7512,0.753,AVANZAR
63,2.016,-0.8167,0.8675,-6.02,0.7599,0.7519,AVANZAR
64,2.048,-0.8142,0.8673,-5.88,0.7432,0.7502,AVANZAR
65,2.08,-0.8116,0.867,-5.88,0.7582,0.7489,AVANZAR
66,2.112,-0.8091,0.8668,-5.88,0.7882,0.7491,AVANZAR
67,2.144,-0.8066,0.8665,-6.02,0.776,0.7499,GIRANDO
68,2.176,-0.8066,0.8665,-5.46,0.8146,0.7546,AVANZAR
69,2.208,-0.804,0.8663,-5.46,0.7588,0.7555,AVANZAR
70,2.24,-0.8015,0.866,-5.46,0.7351,0.7544,AVANZAR
71,2.272,-0.7989,0.8658,-5.46,0.8252,0.7562,AVANZAR
72,2.304,-0.7964,0.8655,-5.31,0.7424,0.7561,AVANZAR
73,2.336,-0.7938,0.8653,-5.31,0.7245,0.7539,GIRANDO
74,2.368,-0.7938,0.8653,-4.75,0.7907,0.7558,CURVA_IZQUIERDA
75,2.4,-0.7922,0.8652,-2.9,0.8106,0.7579,AVANZAR
76,2.432,-0.7897,0.8651,-2.9,0.7603,0.7581,AVANZAR
77,2.464,-0.7871,0.8649,-2.9,0.7518,0.7572,AVANZAR
78,2.496,-0.7845,0.8648,-2.9,0.7342,0.7551,AVANZAR
79,2.528,-0.7819,0.8647,-2.9,0.7914,0.7547,AVANZAR
80,2.56,-0.7794,0.8645,-2.9,0.7362,0.753,AVANZAR
81,2.592,-0.7769,0.8644,-2.76,0.7752,0.7524,AVANZAR
82,2.624,-0.7744,0.8643,-2.9,0.7168,0.7498,AVANZAR
83,2.656,-0.7718,0.8642,-2.9,0.7714,0.7485,AVANZAR
84,2.688,-0.7692,0.864,-2.9,0.7756,0.7482,AVANZAR
85,2.72,-0.7666,0.8639,-2.9,0.7283,0.7466,AVANZAR
