step,time_s,x_robot,y_robot,angulo_grados,sensor_crudo,kalman,action
86,2.752,-0.7641,0.8638,-2.9,0.7629,0.7456,AVANZAR
87,2.784,-0.7615,0.8636,-2.9,0.7656,0.7453,AVANZAR
88,2.816,-0.759,0.8635,-2.76,0.7534,0.7448,AVANZAR
89,2.848,-0.7564,0.8634,-2.76,0.7583,0.7444,AVANZAR
90,2.88,-0.7539,0.8633,-2.9,0.7213,0.7426,AVANZAR
91,2.912,-0.7513,0.8631,-2.9,0.7933,0.743,AVANZAR
92,2.944,-0.7488,0.863,-2.9,0.79,0.7447,AVANZAR
93,2.976,-0.7462,0.8629,-2.9,0.7585,0.7456,GIRANDO
94,3.008,-0.7462,0.8629,-2.34,0.7104,0.7461,AVANZAR
95,3.04,-0.7436,0.8628,-2.34,0.7464,0.7443,AVANZAR
96,3.072,-0.741,0.8627,-2.34,0.8106,0.7454,AVANZAR
97,3.104,-0.7386,0.8626,-2.34,0.7385,0.7453,AVANZAR
98,3.136,-0.736,0.8625,-2.34,0.7789,0.7459,GIRANDO
99,3.168,-0.736,0.8625,-1.77,0.7612,0.7485,AVANZAR
100,3.2,-0.7335,0.8624,-1.77,0.802,0.7502,AVANZAR
101,3.232,-0.7309,0.8623,-1.77,0.7735,0.7516,GIRANDO
102,3.264,-0.7309,0.8623,-1.2,0.7568,0.7542,AVANZAR
103,3.296,-0.7283,0.8622,-1.2,0.7519,0.7534,AVANZAR
104,3.328,-0.7257,0.8622,-1.2,0.7557,0.7524,AVANZAR
105,3.36,-0.7232,0.8621,-1.2,0.8016,0.7533,WP_1
106,3.392,-0.7232,0.8621,-1.2,0.7391,0.7547,AVANZAR
107,3.424,-0.7207,0.8621,-1.34,0.8085,0.7558,AVANZAR
108,3.456,-0.7181,0.862,-1.2,0.7724,0.7565,AVANZAR
109,3.488,-0.7156,0.862,-1.2,0.7495,0.756,AVANZAR
110,3.52,-0.713,0.8619,-1.2,0.7831,0.7562,AVANZAR
111,3.552,-0.7104,0.8619,-1.2,0.7574,0.7557,AVANZAR
112,3.584,-0.7078,0.8618,-1.2,0.7595,0.7549,AVANZAR
113,3.616,-0.7053,0.8617,-1.2,0.7615,0.754,AVANZAR
114,3.648,-0.7028,0.8617,-1.34,0.7687,0.7536,AVANZAR
115,3.68,-0.7003,0.8616,-1.2,0.7439,0.7522,AVANZAR
116,3.712,-0.6977,0.8616,-1.2,0.7481,0.7505,AVANZAR
117,3.744,-0.6951,0.8615,-1.2,0.7309,0.748,AVANZAR
118,3.776,-0.6925,0.8615,-1.2,0.7603,0.7464,AVANZAR
119,3.808,-0.69,0.8614,-1.2,0.7573,0.7452,AVANZAR
120,3.84,-0.6874,0.8614,-1.2,0.7532,0.7442,AVANZAR
121,3.872,-0.6849,0.8613,-1.34,0.7102,0.7415,AVANZAR
122,3.904,-0.6824,0.8613,-1.2,0.7033,0.7376,AVANZAR
123,3.936,-0.6798,0.8612,-1.2,0.7783,0.7363,AVANZAR
124,3.968,-0.6772,0.8611,-1.2,0.7886,0.7372,AVANZAR
125,4.0,-0.6746,0.8611,-1.2,0.7778,0.7389,AVANZAR
126,4.032,-0.6721,0.861,-1.2,0.7402,0.7392,AVANZAR
127,4.064,-0.6695,0.861,-1.2,0.726,0.7382,AVANZAR
128,4.096,-0.6669,0.8609,-1.2,0.7636,0.7381,AVANZAR
129,4.128,-0.6645,0.8609,-1.2,0.77,0.7388,AVANZAR
130,4.16,-0.6619,0.8608,-1.2,0.7477,0.7389,AVANZAR
131,4.192,-0.6593,0.8608,-1.2,0.7524,0.7389,AVANZAR
132,4.224,-0.6567,0.8607,-1.2,0.7881,0.7404,AVANZAR
133,4.256,-0.6542,0.8607,-1.2,0.7162,0.7396,AVANZAR
134,4.288,-0.6516,0.8606,-1.2,0.7539,0.7391,AVANZAR
135,4.32,-0.649,0.8606,-1.2,0.6964,0.7362,AVANZAR
136,4.352,-0.6466,0.8605,-1.2,0.7977,0.7367,AVANZAR
137,4.384,-0.644,0.8605,-1.2,0.7054,0.7348,AVANZAR
138,4.416,-0.6414,0.8604,-1.2,0.784,0.7352,AVANZAR
139,4.448,-0.6389,0.8603,-1.2,0.7401,0.735,AVANZAR
140,4.48,-0.6363,0.8603,-1.2,0.8198,0.7379,AVANZAR
141,4.512,-0.6337,0.8602,-1.2,0.757,0.7399,AVANZAR
142,4.544,-0.6311,0.8602,-1.2,0.7654,0.7415,AVANZAR
143,4.576,-0.6287,0.8601,-1.2,0.7678,0.743,AVANZAR
144,4.608,-0.6261,0.8601,-1.2,0.7488,0.7435,AVANZAR
145,4.64,-0.6235,0.86,-1.2,0.7253,0.7423,AVANZAR
146,4.672,-0.621,0.86,-1.2,0.7994,0.7434,AVANZAR
147,4.704,-0.6184,0.8599,-1.2,0.7666,0.7445,AVANZAR
148,4.736,-0.6158,0.8599,-1.2,0.757,0.745,AVANZAR
149,4.768,-0.6132,0.8598,-1.2,0.7861,0.7464,AVANZAR
150,4.8,-0.6108,0.8598,-1.2,0.7682,0.7477,AVANZAR
151,4.832,-0.6082,0.8597,-1.2,0.7612,0.7483,AVANZAR
152,4.864,-0.6056,0.8596,-1.2,0.7754,0.7492,AVANZAR
153,4.896,-0.6031,0.8596,-1.2,0.7746,0.7502,AVANZAR
154,4.928,-0.6005,0.8595,-1.2,0.7247,0.749,AVANZAR
155,4.96,-0.5979,0.8595,-1.2,0.7818,0.7491,AVANZAR
156,4.992,-0.5954,0.8594,-1.2,0.7888,0.7502,AVANZAR
157,5.024,-0.5929,0.8594,-1.2,0.753,0.7504,AVANZAR
158,5.056,-0.5903,0.8593,-1.2,0.7573,0.7501,AVANZAR
159,5.088,-0.5878,0.8593,-1.2,0.7988,0.7514,AVANZAR
160,5.12,-0.5852,0.8592,-1.2,0.764,0.7521,AVANZAR
161,5.152,-0.5826,0.8592,-1.2,0.7779,0.753,AVANZAR
162,5.184,-0.58,0.8591,-1.2,0.752,0.7528,AVANZAR
163,5.216,-0.5775,0.8591,-1.2,0.7909,0.7537,AVANZAR
164,5.248,-0.575,0.859,-1.2,0.7711,0.7545,AVANZAR
165,5.28,-0.5724,0.859,-1.2,0.6885,0.7513,AVANZAR
166,5.312,-0.5699,0.8589,-1.2,0.8404,0.7526,AVANZAR
167,5.344,-0.5673,0.8588,-1.2,0.7528,0.7528,AVANZAR
168,5.376,-0.5647,0.8588,-1.2,0.7803,0.7534,AVANZAR
169,5.408,-0.5621,0.8587,-1.2,0.7876,0.7546,AVANZAR
170,5.44,-0.5596,0.8587,-1.2,0.7831,0.756,AVANZAR
171,5.472,-0.5571,0.8586,-1.34,0.7922,0.7577,AVANZAR
172,5.504,-0.5545,0.8586,-1.2,0.7684,0.7586,AVANZAR
173,5.536,-0.552,0.8585,-1.2,0.7559,0.7583,AVANZAR
174,5.568,-0.5494,0.8585,-1.2,0.7631,0.7577,AVANZAR
175,5.6,-0.5468,0.8584,-1.2,0.7513,0.7564,AVANZAR
176,5.632,-0.5443,0.8584,-1.2,0.7563,0.7549,AVANZAR
177,5.664,-0.5417,0.8583,-1.2,0.7747,0.7543,AVANZAR
178,5.696,-0.5392,0.8582,-1.34,0.769,0.7539,AVANZAR
179,5.728,-0.5367,0.8582,-1.2,0.7698,0.7538,AVANZAR
180,5.76,-0.5341,0.8581,-1.2,0.8013,0.7551,AVANZAR
181,5.792,-0.5315,0.8581,-1.2,0.7504,0.755,CURVA_IZQUIERDA
182,5.824,-0.5298,0.8581,0.78,0.8366,0.7586,AVANZAR
183,5.856,-0.5273,0.8581,0.78,0.7479,0.7591,AVANZAR
184,5.888,-0.5247,0.8581,0.78,0.7612,0.7588,AVANZAR
185,5.92,-0.5222,0.8582,0.64,0.7214,0.7564,AVANZAR
186,5.952,-0.5196,0.8582,0.64,0.7622,0.7546,CURVA_IZQUIERDA
187,5.984,-0.518,0.8583,2.77,0.7423,0.7531,AVANZAR
188,6.016,-0.5154,0.8584,2.77,0.7485,0.7507,CURVA_IZQUIERDA
189,6.048,-0.5138,0.8585,4.76,0.7674,0.7502,CURVA_IZQUIERDA
190,6.08,-0.5121,0.8587,6.74,0.7894,0.7511,CURVA_IZQUIERDA
191,6.112,-0.5104,0.8589,8.73,0.7454,0.751,CURVA_IZQUIERDA
192,6.144,-0.5088,0.8592,10.57,0.7617,0.7511,CURVA_IZQUIERDA
193,6.176,-0.5072,0.8595,12.56,0.7764,0.7517,CURVA_IZQUIERDA
194,6.208,-0.5056,0.8599,14.54,0.7688,0.7524,CURVA_IZQUIERDA
195,6.24,-0.504,0.8603,16.53,0.7372,0.7518,CURVA_IZQUIERDA
196,6.272,-0.5024,0.8608,18.52,0.7223,0.7497,CURVA_IZQUIERDA
197,6.304,-0.5008,0.8614,20.5,0.744,0.7477,GIRANDO
198,6.336,-0.5008,0.8614,19.65,0.7429,0.7473,GIRANDO
199,6.368,-0.5009,0.8614,18.66,0.7673,0.748,CURVA_IZQUIERDA
200,6.4,-0.4993,0.8619,20.64,0.7989,0.7492,GIRANDO
201,6.432,-0.4992,0.862,19.65,0.7397,0.7505,GIRANDO
202,6.464,-0.4992,0.862,18.8,0.7957,0.7532,GIRANDO
203,6.496,-0.4992,0.862,17.95,0.7511,0.7548,CURVA_IZQUIERDA
204,6.528,-0.4977,0.8625,20.08,0.8306,0.7577,GIRANDO
205,6.56,-0.4976,0.8625,19.08,0.7394,0.7595,GIRANDO
206,6.592,-0.4976,0.8625,18.23,0.8117,0.7629,GIRANDO
207,6.624,-0.4977,0.8625,17.52,0.7696,0.7653,GIRANDO
208,6.656,-0.4977,0.8625,16.67,0.718,0.7646,GIRANDO
209,6.688,-0.4976,0.8625,15.96,0.7587,0.7639,CURVA_IZQUIERDA
210,6.72,-0.496,0.863,17.95,0.7942,0.7634,GIRANDO
211,6.752,-0.4961,0.863,17.24,0.8177,0.7665,GIRANDO
212,6.784,-0.4961,0.863,16.39,0.7615,0.7681,GIRANDO
213,6.816,-0.4961,0.863,15.82,0.7532,0.7685,GIRANDO
214,6.848,-0.496,0.863,15.11,0.7482,0.7677,GIRANDO
215,6.88,-0.496,0.863,14.54,0.8065,0.769,CURVA_IZQUIERDA
216,6.912,-0.4945,0.8634,16.39,0.7568,0.7678,GIRANDO
217,6.944,-0.4945,0.8634,15.82,0.7438,0.7671,GIRANDO
218,6.976,-0.4945,0.8634,15.25,0.7146,0.7643,GIRANDO
219,7.008,-0.4945,0.8634,14.4,0.7376,0.7615,GIRANDO
220,7.04,-0.4945,0.8634,13.84,0.7406,0.7589,AVANZAR
221,7.072,-0.492,0.864,13.84,0.7062,0.7528,AVANZAR
222,7.104,-0.4895,0.8646,13.98,0.7928,0.7503,GIRANDO
223,7.136,-0.4895,0.8646,13.41,0.7841,0.7518,CURVA_IZQUIERDA
224,7.168,-0.4879,0.865,15.4,0.7625,0.7518,GIRANDO
225,7.2,-0.4879,0.8651,14.69,0.812,0.7553,GIRANDO
226,7.232,-0.4879,0.865,13.98,0.8092,0.7599,CURVA_IZQUIERDA
227,7.264,-0.4863,0.8655,15.96,0.7324,0.76,GIRANDO
228,7.296,-0.4863,0.8655,15.4,0.7884,0.7622,GIRANDO
229,7.328,-0.4862,0.8655,14.69,0.7719,0.764,GIRANDO
230,7.36,-0.4863,0.8655,13.98,0.7394,0.764,GIRANDO
231,7.392,-0.4863,0.8655,13.41,0.7854,0.765,AVANZAR
232,7.424,-0.4838,0.8661,13.41,0.7649,0.7633,GIRANDO
233,7.456,-0.4838,0.8661,12.84,0.7858,0.7648,AVANZAR
234,7.488,-0.4813,0.8667,12.84,0.7692,0.7638,AVANZAR
235,7.52,-0.4788,0.8672,12.84,0.7235,0.7607,AVANZAR
236,7.552,-0.4763,0.8678,12.98,0.8041,0.7601,CURVA_IZQUIERDA
237,7.584,-0.4747,0.8682,14.97,0.8023,0.7617,WP_2
238,7.616,-0.4747,0.8682,14.97,0.7662,0.7639,GIRANDO
239,7.648,-0.4748,0.8682,13.98,0.7878,0.7663,GIRANDO
240,7.68,-0.4747,0.8682,13.27,0.7851,0.7684,CURVA_IZQUIERDA
241,7.712,-0.4731,0.8686,15.11,0.7845,0.7691,GIRANDO
242,7.744,-0.4731,0.8686,14.26,0.7266,0.7686,GIRANDO
243,7.776,-0.4731,0.8686,13.41,0.7764,0.7686,GIRANDO
244,7.808,-0.4731,0.8686,12.56,0.7348,0.7672,GIRANDO
245,7.84,-0.4731,0.8686,11.85,0.7532,0.7656,CURVA_IZQUIERDA
246,7.872,-0.4715,0.869,13.84,0.7258,0.7616,CURVA_IZQUIERDA
247,7.904,-0.4698,0.8694,15.82,0.7459,0.758,GIRANDO
248,7.936,-0.4699,0.8694,14.83,0.7457,0.7564,GIRANDO
249,7.968,-0.4699,0.8694,13.98,0.8298,0.7587,CURVA_IZQUIERDA
250,8.0,-0.4683,0.8698,15.96,0.763,0.7587,GIRANDO
251,8.032,-0.4682,0.8698,14.97,0.7512,0.7594,CURVA_IZQUIERDA
252,8.064,-0.4667,0.8703,16.81,0.7546,0.7583,GIRANDO
253,8.096,-0.4667,0.8703,15.96,0.7658,0.7589,GIRANDO
254,8.128,-0.4667,0.8703,14.83,0.7747,0.7599,GIRANDO
255,8.16,-0.4667,0.8703,13.98,0.8148,0.763,GIRANDO
256,8.192,-0.4667,0.8703,13.13,0.7687,0.765,GIRANDO
257,8.224,-0.4667,0.8703,12.27,0.7638,0.7662,GIRANDO
258,8.256,-0.4667,0.8703,11.71,0.7942,0.7681,GIRANDO
259,8.288,-0.4667,0.8703,10.86,0.7735,0.7695,GIRANDO
260,8.32,-0.4667,0.8703,10.29,0.7546,0.7697,CURVA_IZQUIERDA
261,8.352,-0.465,0.8706,12.27,0.7627,0.7681,CURVA_IZQUIERDA
262,8.384,-0.4634,0.871,14.26,0.7814,0.7673,GIRANDO
263,8.416,-0.4634,0.871,13.41,0.7319,0.7662,CURVA_IZQUIERDA
264,8.448,-0.4618,0.8714,15.4,0.7985,0.7656,GIRANDO
265,8.48,-0.4618,0.8714,14.4,0.7423,0.7652,GIRANDO
266,8.512,-0.4618,0.8714,13.55,0.7514,0.7644,GIRANDO
267,8.544,-0.4618,0.8714,12.7,0.7524,0.7634,CURVA_IZQUIERDA
268,8.576,-0.4602,0.8718,14.69,0.7822,0.7621,CURVA_IZQUIERDA
269,8.608,-0.4586,0.8722,16.67,0.7411,0.76,GIRANDO
270,8.64,-0.4586,0.8722,15.54,0.7642,0.76,GIRANDO
271,8.672,-0.4586,0.8722,14.69,0.7536,0.7597,GIRANDO
272,8.704,-0.4586,0.8722,13.84,0.7822,0.7605,CURVA_IZQUIERDA
273,8.736,-0.457,0.8727,15.82,0.798,0.7612,GIRANDO
274,8.768,-0.457,0.8727,14.69,0.7469,0.7619,GIRANDO
275,8.8,-0.457,0.8727,13.84,0.7741,0.763,CURVA_IZQUIERDA
276,8.832,-0.4554,0.8731,15.82,0.7848,0.7631,GIRANDO
277,8.864,-0.4554,0.8731,14.83,0.8178,0.7666,GIRANDO
278,8.896,-0.4554,0.8731,13.84,0.7829,0.7693,GIRANDO
279,8.928,-0.4554,0.8731,12.98,0.7509,0.7702,GIRANDO
280,8.96,-0.4554,0.8731,12.13,0.7552,0.7701,GIRANDO
281,8.992,-0.4554,0.8731,11.42,0.7634,0.7697,GIRANDO
282,9.024,-0.4554,0.8731,10.71,0.7568,0.7689,CURVA_IZQUIERDA
283,9.056,-0.4537,0.8734,12.7,0.738,0.7656,CURVA_IZQUIERDA
284,9.088,-0.4521,0.8738,14.69,0.7458,0.7624,GIRANDO
285,9.12,-0.4522,0.8738,13.69,0.7947,0.7629,GIRANDO
286,9.152,-0.4522,0.8738,12.84,0.7742,0.7637,GIRANDO
287,9.184,-0.4521,0.8738,12.13,0.8289,0.767,GIRANDO
288,9.216,-0.4521,0.8738,11.28,0.7355,0.7676,GIRANDO
289,9.248,-0.4522,0.8738,10.57,0.7775,0.7684,GIRANDO
290,9.28,-0.4522,0.8738,10.01,0.7359,0.7675,GIRANDO
291,9.312,-0.4521,0.8738,9.3,0.7879,0.7677,GIRANDO
292,9.344,-0.4521,0.8738,8.73,0.7791,0.7684,AVANZAR
293,9.376,-0.4496,0.8742,8.73,0.7286,0.7649,AVANZAR
294,9.408,-0.4471,0.8746,8.73,0.8266,0.765,GIRANDO
295,9.44,-0.4471,0.8746,8.3,0.7309,0.7649,AVANZAR
296,9.472,-0.4446,0.8749,8.16,0.7529,0.7622,AVANZAR
297,9.504,-0.442,0.8753,8.16,0.7425,0.7591,AVANZAR
298,9.536,-0.4395,0.8757,8.16,0.7115,0.7544,AVANZAR
299,9.568,-0.4369,0.876,8.16,0.7464,0.7507,AVANZAR
300,9.6,-0.4344,0.8764,8.16,0.7598,0.7481,AVANZAR
301,9.632,-0.4318,0.8768,8.16,0.7613,0.7465,AVANZAR
302,9.664,-0.4294,0.8771,8.3,0.8266,0.7485,GIRANDO
303,9.696,-0.4294,0.8771,7.74,0.7463,0.7511,AVANZAR
304,9.728,-0.4269,0.8775,7.59,0.782,0.7518,AVANZAR
305,9.76,-0.4243,0.8778,7.59,0.741,0.7511,AVANZAR
306,9.792,-0.4218,0.8781,7.59,0.7602,0.7504,AVANZAR
307,9.824,-0.4192,0.8785,7.59,0.8537,0.7539,AVANZAR
308,9.856,-0.4167,0.8788,7.59,0.7731,0.7561,AVANZAR
309,9.888,-0.4141,0.8792,7.59,0.7433,0.7562,AVANZAR
310,9.92,-0.4116,0.8795,7.74,0.7539,0.7556,GIRANDO
311,9.952,-0.4116,0.8795,7.17,0.7727,0.7575,AVANZAR
312,9.984,-0.4091,0.8798,7.17,0.8087,0.7586,AVANZAR
313,10.016,-0.4066,0.8801,7.03,0.7415,0.758,AVANZAR
314,10.048,-0.404,0.8805,7.03,0.7239,0.7554,AVANZAR
315,10.08,-0.4015,0.8808,7.03,0.7539,0.7531,AVANZAR
316,10.112,-0.3989,0.8811,7.03,0.7865,0.7526,AVANZAR
317,10.144,-0.3964,0.8814,7.17,0.7063,0.7496,AVANZAR
318,10.176,-0.3939,0.8817,7.17,0.7216,0.7459,GIRANDO
319,10.208,-0.3939,0.8817,6.6,0.7708,0.7463,AVANZAR
320,10.24,-0.3913,0.882,6.6,0.7453,0.7443,AVANZAR
321,10.272,-0.3888,0.8823,6.6,0.8326,0.7463,AVANZAR
322,10.304,-0.3863,0.8826,6.46,0.756,0.7474,AVANZAR
323,10.336,-0.3837,0.8829,6.46,0.7626,0.748,AVANZAR
324,10.368,-0.3811,0.8832,6.46,0.7279,0.7468,AVANZAR
325,10.4,-0.3786,0.8835,6.6,0.7352,0.7449,AVANZAR
326,10.432,-0.3761,0.8838,6.6,0.7656,0.744,GIRANDO
327,10.464,-0.3761,0.8838,6.03,0.7251,0.7442,AVANZAR
328,10.496,-0.3735,0.884,6.03,0.7492,0.7424,AVANZAR
329,10.528,-0.371,0.8843,6.03,0.7393,0.7404,AVANZAR
330,10.56,-0.3685,0.8846,5.89,0.7767,0.7403,AVANZAR
331,10.592,-0.3659,0.8848,5.89,0.7927,0.7418,AVANZAR
332,10.624,-0.3633,0.8851,5.89,0.7676,0.7432,AVANZAR
333,10.656,-0.3609,0.8853,6.03,0.717,0.7422,AVANZAR
334,10.688,-0.3583,0.8856,6.03,0.7897,0.7431,GIRANDO
335,10.72,-0.3583,0.8856,5.47,0.7625,0.7459,CURVA_IZQUIERDA
336,10.752,-0.3566,0.8858,7.45,0.8201,0.7495,CURVA_IZQUIERDA
337,10.784,-0.355,0.886,9.44,0.786,0.7528,CURVA_IZQUIERDA
338,10.816,-0.3533,0.8864,11.42,0.7474,0.7541,GIRANDO
339,10.848,-0.3534,0.8863,10.43,0.7148,0.7542,GIRANDO
340,10.88,-0.3534,0.8863,9.58,0.7411,0.7536,CURVA_IZQUIERDA
341,10.912,-0.3517,0.8866,11.57,0.8055,0.7542,GIRANDO
342,10.944,-0.3517,0.8867,10.57,0.7767,0.7564,GIRANDO
343,10.976,-0.3517,0.8867,9.72,0.7642,0.7581,GIRANDO
344,11.008,-0.3517,0.8866,9.01,0.8017,0.7611,GIRANDO
345,11.04,-0.3517,0.8866,8.16,0.8137,0.7652,CURVA_IZQUIERDA
346,11.072,-0.3501,0.8869,10.15,0.7544,0.7657,GIRANDO
347,11.104,-0.3501,0.8869,9.3,0.7775,0.7675,GIRANDO
348,11.136,-0.3501,0.8869,8.44,0.7635,0.7685,GIRANDO
349,11.168,-0.3501,0.8869,7.88,0.7635,0.7688,GIRANDO
350,11.2,-0.3501,0.8869,7.03,0.7574,0.7685,CURVA_IZQUIERDA
351,11.232,-0.3484,0.8871,9.01,0.7485,0.766,GIRANDO
352,11.264,-0.3484,0.8871,8.16,0.7678,0.7656,GIRANDO
353,11.296,-0.3484,0.8871,7.59,0.7935,0.7666,GIRANDO
354,11.328,-0.3484,0.8872,6.88,0.7516,0.7664,GIRANDO
355,11.36,-0.3484,0.8871,6.18,0.7623,0.7663,GIRANDO
356,11.392,-0.3484,0.8871,5.61,0.7141,0.7639,GIRANDO
357,11.424,-0.3484,0.8871,5.04,0.8071,0.7643,CURVA_IZQUIERDA
